,mirna,fam,count
440,Hsa-Mir-197_pre,Mir-197,0
441,Hsa-Mir-203-v1_pre,Mir-203,4
442,Hsa-Mir-135-P3_pre,Mir-135,4
443,Hsa-Mir-506-P6c_pre,Mir-506,2
444,Hsa-Mir-193-P1b_pre,Mir-193,4
445,Hsa-Mir-599_pre,Mir-599,4
446,Hsa-Mir-34-P2a_pre,Mir-34,1
447,Hsa-Mir-154-P20-v2_pre,Mir-154,2
448,Hsa-Mir-30-P2c_pre,Mir-30,3
449,Hsa-Mir-192-P2_pre,Mir-192,4
450,Hsa-Mir-34-P3c_pre,Mir-34,3
451,Hsa-Mir-3146_pre,Mir-3146,4
452,Hsa-Mir-490_pre,Mir-490,4
453,Hsa-Mir-3940_pre,Mir-3940,4
454,Hsa-Mir-23-P2_pre,Mir-23,3
455,Hsa-Mir-10-P3a_pre,Mir-10,2
456,Hsa-Mir-430-P25_pre,Mir-430,2
457,Hsa-Mir-150_pre,Mir-150,2
458,Hsa-Mir-3690_pre,Mir-3690,0
459,Hsa-Mir-597_pre,Mir-597,0
460,Hsa-Mir-185_pre,Mir-185,4
461,Hsa-Mir-30-P2b_pre,Mir-30,4
462,Hsa-Mir-459_pre,Mir-459,4
463,Hsa-Mir-142-v1_pre,Mir-142,4
464,Hsa-Mir-154-P28b_pre,Mir-154,0
465,Hsa-Mir-6715_pre,Mir-6715,4
466,Hsa-Mir-5010_pre,Mir-5010,4
467,Hsa-Mir-3127_pre,Mir-3127,4
468,Hsa-Mir-154-P16_pre,Mir-154,2
469,Hsa-Mir-203-v2_pre,Mir-203,4
470,Hsa-Mir-95-P3-v2_pre,Mir-95,3
471,Hsa-Mir-10-P2a_pre,Mir-10,2
472,Hsa-Mir-17-P3a_pre,Mir-17,4
473,Hsa-Mir-9-P1_pre,Mir-9,4
474,Hsa-Mir-652_pre,Mir-652,4
475,Hsa-Mir-873-v2_pre,Mir-873,4
476,Hsa-Let-7-P2a3_pre,Let-7,4
477,Hsa-Mir-335_pre,Mir-335,4
478,Hsa-Mir-122-as_pre,Mir-122,4
479,Hsa-Mir-92-P2b_pre,Mir-92,4
480,Hsa-Mir-9851_pre,Mir-9851,4
481,Hsa-Mir-138-P2_pre,Mir-138,4
482,Hsa-Mir-430-P27_pre,Mir-430,4
483,Hsa-Mir-430-P14_pre,Mir-430,0
484,Hsa-Mir-22-P1a_pre,Mir-22,0
485,Hsa-Mir-2276_pre,Mir-2276,4
486,Hsa-Mir-1-P2_pre,Mir-1,4
487,Hsa-Mir-196-P3_pre,Mir-196,4
488,Hsa-Mir-103-P1_pre,Mir-103,4
489,Hsa-Mir-944_pre,Mir-944,4
490,Hsa-Mir-331_pre,Mir-331,4
491,Hsa-Mir-139_pre,Mir-139,4
492,Hsa-Mir-181-P2a_pre,Mir-181,4
493,Hsa-Mir-154-P13_pre,Mir-154,2
494,Hsa-Mir-133-P3-v1_pre,Mir-133,4
495,Hsa-Mir-493_pre,Mir-493,4
496,Hsa-Mir-1908_pre,Mir-1908,4
497,Hsa-Mir-585_pre,Mir-585,2
498,Hsa-Mir-430-P30_pre,Mir-430,3
499,Hsa-Mir-430-P15a_pre,Mir-430,4
500,Hsa-Mir-430-P33_pre,Mir-430,1
501,Hsa-Mir-1287_pre,Mir-1287,3
502,Hsa-Mir-616_pre,Mir-616,4
503,Hsa-Mir-3194_pre,Mir-3194,4
504,Hsa-Mir-31_pre,Mir-31,4
505,Hsa-Mir-142-v4_pre,Mir-142,4
506,Hsa-Mir-1270_pre,Mir-1270,0
507,Hsa-Mir-935-v1_pre,Mir-935,4
508,Hsa-Mir-154-P6_pre,Mir-154,2
509,Hsa-Mir-430-P23_pre,Mir-430,4
510,Hsa-Mir-430-P45_pre,Mir-430,2
511,Hsa-Mir-430-P36_pre,Mir-430,3
512,Hsa-Mir-1295_pre,Mir-1295,4
513,Hsa-Mir-188-P1_pre,Mir-188,4
514,Hsa-Mir-202_pre,Mir-202,3
515,Hsa-Mir-105-P1_pre,Mir-105,4
516,Hsa-Mir-430-P44_pre,Mir-430,4
517,Hsa-Mir-3085_pre,Mir-3085,4
518,Hsa-Mir-181-P1b_pre,Mir-181,4
519,Hsa-Mir-592_pre,Mir-592,4
520,Hsa-Mir-29-P1b_pre,Mir-29,3
521,Hsa-Mir-208-P1_pre,Mir-208,4
522,Hsa-Mir-27-P2_pre,Mir-27,3
523,Hsa-Mir-589_pre,Mir-589,4
524,Hsa-Mir-193-P2a_pre,Mir-193,4
525,Hsa-Mir-133-P3-v2_pre,Mir-133,4
526,Hsa-Mir-154-P25_pre,Mir-154,2
527,Hsa-Mir-624_pre,Mir-624,4
528,Hsa-Mir-505-v2_pre,Mir-505,4
529,Hsa-Mir-103-P2_pre,Mir-103,4
530,Hsa-Mir-488_pre,Mir-488,4
531,Hsa-Mir-1-P3_pre,Mir-1,4
532,Hsa-Mir-136-v2_pre,Mir-136,4
533,Hsa-Mir-330-v2_pre,Mir-330,4
534,Hsa-Mir-105-P2_pre,Mir-105,4
